"","CO_I1","CO_I2","CO_I3","CO_I4","CO_I5","CO_I6","CO_I7","CO_I8","CO_I9","RS_I1","RS_I2","RS_I3","RS_I4","RS_I5","RS_I6","RS_I7","RS_I8","RS_I9","RS_I10","LOT_I1","LOT_I2","LOT_I3","LOT_I4","LOT_I5","LOT_I6","LOT_I7","LOT_I8","LOT_I9","LOT_I10","GPA"
"166",4,4,4,4,4,4,3,4,3,3,3,4,3,4,3,4,3,4,4,2,4,4,2,5,5,4,2,4,4,4.1
"167",3,3,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,2,4,2,4,3.85
"169",3,4,4,3,4,4,4,3,2,3,3,3,4,3,3,3,3,4,3,3,3,4,3,4,4,4,4,4,4,3.66
"170",3,3,3,3,1,2,1,2,3,2,2,2,3,2,1,1,2,2,1,1,1,2,1,3,2,2,2,3,2,3.45
"171",3,3,3,4,3,3,3,4,2,3,3,3,3,3,3,3,3,3,3,4,4,4,4,5,3,4,4,4,4,3.2
"173",4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,4,4,5,3,4,4,3,3.64
"174",2,2,3,3,3,3,2,2,2,2,3,3,2,3,3,3,3,3,3,4,4,2,4,4,4,2,4,2,4,2.94
"175",4,2,3,3,3,4,3,4,3,3,2,3,3,4,4,4,4,4,3,4,4,3,4,5,5,3,5,2,4,3.55
"178",3,4,4,3,3,4,3,2,2,3,4,3,3,3,3,4,4,4,4,4,3,3,4,5,4,4,3,4,3,2.81
"179",3,2,4,3,4,3,3,4,3,2,1,3,3,4,3,3,3,4,2,3,2,2,4,3,4,3,3,3,4,2.47
"181",3,2,3,4,2,4,2,1,3,3,3,2,3,3,3,3,3,4,3,2,4,4,3,5,4,3,4,3,3,3.2
"182",3,3,3,4,2,3,2,2,3,3,3,3,3,3,3,3,3,3,3,4,2,2,3,4,5,2,3,3,5,2.16
"183",4,4,4,4,4,3,3,4,3,3,3,3,3,4,3,3,4,4,3,4,3,5,5,4,5,5,3,5,5,3.72
"184",4,2,4,3,2,2,3,2,2,3,3,3,3,3,2,2,3,3,3,3,2,4,4,5,4,4,3,4,4,3.9
"185",3,2,3,2,1,3,3,1,3,2,4,2,2,2,2,2,3,3,3,4,2,2,2,2,4,4,1,2,4,3.25
"186",3,3,4,3,3,3,2,3,3,3,3,2,3,3,3,2,2,3,3,3,3,4,2,4,3,3,4,3,3,3.77
"189",2,2,3,3,2,3,3,2,2,3,3,3,3,3,3,3,3,4,3,4,4,2,4,4,2,3,4,4,4,3.03
"190",4,4,4,3,4,4,4,4,3,2,1,3,2,3,2,3,2,3,2,3,2,4,4,5,5,2,4,2,4,3.81
"191",3,2,3,4,2,3,2,3,2,3,3,3,3,3,3,3,3,3,3,3,2,3,4,5,3,4,3,4,3,3.77
"192",4,4,4,4,4,4,4,4,2,3,3,3,3,3,2,2,2,2,3,3,2,2,3,3,4,2,2,2,2,3.07
"193",4,3,4,2,3,4,4,3,2,3,3,3,3,3,3,3,3,3,3,3,4,2,4,4,4,4,4,2,4,3.59
"195",4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,2,2,4,4,4,2,4,4,4,3.42
"196",3,2,4,2,3,3,4,3,3,4,4,3,4,4,3,3,4,4,4,5,4,5,5,4,5,5,5,5,5,3.03
"197",4,4,1,3,4,3,3,3,3,3,1,4,4,4,3,3,2,3,2,3,4,2,3,5,3,4,4,4,5,3.03
"198",1,1,3,3,1,2,1,2,1,1,1,1,1,2,1,1,3,1,1,1,3,2,1,2,4,1,3,1,1,2.16
"199",1,1,1,1,1,2,1,2,3,2,1,1,1,2,1,1,1,1,1,1,1,4,4,4,2,3,4,2,4,0.87
"200",3,3,3,2,2,3,2,3,2,3,3,3,3,3,2,2,3,3,2,3,4,3,4,4,3,4,2,4,4,3.33
"201",3,3,4,3,2,4,3,3,2,1,2,1,3,2,1,1,2,2,1,4,1,2,3,4,4,2,2,2,1,2.86
"202",3,3,4,2,2,1,3,3,1,3,3,1,2,1,2,1,1,3,2,2,1,3,2,3,5,2,1,2,2,3.7
"203",4,4,4,3,4,4,3,3,2,4,3,4,4,4,3,3,3,3,3,4,2,3,5,5,5,3,3,4,4,3.64
"205",4,4,4,3,4,4,3,4,3,3,4,3,4,3,3,3,3,4,3,5,2,3,3,5,5,4,5,5,5,3.77
"206",3,2,3,3,2,3,3,3,2,3,3,3,3,3,3,3,2,3,3,4,4,3,4,4,3,3,3,3,4,2.38
"207",4,4,4,2,4,4,3,3,3,3,3,3,3,1,3,3,3,3,3,4,3,4,4,4,5,4,3,4,3,3.81
"208",4,3,4,3,3,3,4,3,2,3,4,4,4,4,3,4,4,4,4,3,3,3,4,4,5,4,4,4,4,3.12
"209",4,4,4,1,3,4,4,4,4,3,3,3,3,4,3,3,3,4,3,2,2,2,2,4,5,2,3,2,2,3.03
"210",4,4,4,4,4,3,4,3,3,3,4,4,3,4,3,3,4,4,3,3,2,4,2,4,2,3,4,2,3,3.12
"211",3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,4,4,3,2,5,3,3,2,2,3,3.29
"212",3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,3,4,4,4,4,4,4,3.25
"213",2,4,1,3,3,2,2,3,3,2,1,3,4,2,1,3,2,4,3,3,4,3,2,2,3,2,4,3,3,3.33
"214",3,3,3,3,3,3,3,2,2,3,3,3,3,3,3,3,4,4,3,5,4,4,4,5,5,4,2,3,4,2.83
"215",4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,4,3,4,2,4,4,5,4,4,3,4,4,3.2
"216",4,3,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,4,2,5,5,4,4,3,4,3.16
"217",3,4,4,4,3,3,3,3,2,2,3,3,3,2,2,3,2,2,2,1,2,3,3,3,2,2,1,3,3,3.72
"218",2,4,3,4,1,4,3,3,2,3,3,3,3,4,3,3,3,4,2,4,5,4,3,5,2,4,5,4,5,2.32
"219",3,3,4,3,3,3,4,3,2,3,3,3,3,3,3,3,3,4,3,3,2,4,4,4,5,4,4,4,4,3.59
"220",3,3,4,3,3,4,3,3,2,4,3,3,4,4,3,3,3,4,3,2,2,4,1,4,5,4,1,4,4,3.4
"222",2,2,3,2,2,3,3,2,2,3,3,2,2,2,2,2,2,4,2,4,3,4,4,4,4,3,3,4,4,2.16
"223",3,3,3,3,3,4,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,3,3,3.51
"224",3,4,4,3,4,3,2,3,3,3,3,3,3,3,2,3,2,3,3,3,2,3,3,5,4,3,2,3,4,3.51
"226",4,4,4,4,2,4,4,4,3,3,3,3,3,3,3,3,3,4,3,3,2,2,3,4,5,5,2,3,4,3.33
"227",4,3,3,4,3,4,4,3,2,4,4,3,4,3,3,3,3,4,3,2,2,3,4,4,4,3,2,3,4,3.29
"228",4,4,4,4,3,3,3,3,3,4,4,3,3,4,2,2,3,3,3,1,2,2,3,5,4,2,2,2,2,3.22
"229",3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,2,4,4,4,4,3,5,4,3.25
